timelapse	link	video
1:50 - 1:58	Wrist rotate	1
3:13 - 3:16	Wrist tilt	1
4:06- 4:07	Thumb flexion	1
4:11 - 4:12	Thumb flexion	1
4:17 - 4:18	Thumb flexion	1
4:30 - 4:34	Thumb adduction (?)	1
4:37 - 4:38	Thumb adduction 	1
4:49 - 4:50	Middle finger flexion	1
5:02 - 5:04	Ring finger flexion	1
5:12 - 5:14	Ring finger flexion	1
5:20 - 5:22 - 5:27	Small finger flexion	1
5:36 - 5:38	Index finger flexion	1
5:39 - 5:41	Index finger flexion	1
5:42 - 5:43	Index finger flexion	1
5:44 - 5:45	Index finger flexion	1
5:53 - 5:55	Index finger flexion	1
5:56 - 5:57	Index finger flexion	1
6:00 - 6:02	Index finger flexion	1
6:03 - 6:04	Index finger flexion	1
6:08	Spring was removed from index	1
6:32 - 6:34	Index finger flexion	1
6:38 - 6:40	Index finger flexion	1
6:41 - 6:42	Index finger flexion	1
6:48 - 6:50	Index finger flexion	1
6:55 - 6:56	Index finger flexion	1
7:00 - 7:02	Index finger flexion	1
7:05 - 7:06	Index finger flexion	1
7:11 - 7:12	Index finger flexion	1
